spot,slug,date,wave_height_m,wave_direction_deg,wave_period_s,swell_height_m,swell_direction_deg,swell_period_s,wind_speed_kmh,wind_direction_deg,wind_gusts_kmh,observation_label,notes
Martinique Beach,martinique-beach,2017-07-10,,,,,,,8.4,211,19.4,,
Martinique Beach,martinique-beach,2017-08-02,,,,,,,6.9,96,15.8,,
Martinique Beach,martinique-beach,2017-08-07,,,,,,,14.0,270,29.2,,
Martinique Beach,martinique-beach,2017-08-09,,,,,,,9.7,292,22.3,,
Martinique Beach,martinique-beach,2017-08-29,,,,,,,7.2,6,15.5,,
Martinique Beach,martinique-beach,2017-09-13,,,,,,,10.9,333,23.0,,
Martinique Beach,martinique-beach,2017-10-01,,,,,,,7.9,270,15.8,,
Martinique Beach,martinique-beach,2017-10-13,,,,,,,4.0,350,10.1,,
Martinique Beach,martinique-beach,2017-11-30,,,,,,,14.6,320,36.0,,
Martinique Beach,martinique-beach,2018-05-14,,,,,,,9.8,174,22.3,,
Martinique Beach,martinique-beach,2018-12-27,,,,,,,19.9,316,40.0,,
Martinique Beach,martinique-beach,2019-01-19,,,,,,,19.4,310,37.1,,
Martinique Beach,martinique-beach,2019-01-29,,,,,,,18.9,9,41.4,,
Martinique Beach,martinique-beach,2019-02-03,,,,,,,16.3,305,34.2,,
Martinique Beach,martinique-beach,2019-02-10,,,,,,,25.3,287,52.6,,
Martinique Beach,martinique-beach,2019-02-15,,,,,,,7.6,8,14.8,,
Martinique Beach,martinique-beach,2019-02-20,,,,,,,23.4,314,48.2,,
Martinique Beach,martinique-beach,2019-02-23,,,,,,,,,,,
Martinique Beach,martinique-beach,2019-02-28,,,,,,,,,,,
Martinique Beach,martinique-beach,2019-03-17,,,,,,,,,,,
Martinique Beach,martinique-beach,2019-03-20,,,,,,,,,,,
Martinique Beach,martinique-beach,2019-03-25,,,,,,,,,,,
Martinique Beach,martinique-beach,2019-03-27,,,,,,,,,,,
Martinique Beach,martinique-beach,2019-04-04,,,,,,,,,,,
Martinique Beach,martinique-beach,2019-04-29,,,,,,,,,,,
